serie,modelo,repeticao,mae,qtd_deteccoes
AAPL,WinKS,1,0.00707440975138441,22.0
AAPL,WinKS,2,0.007183310656818718,23.0
AAPL,WinKS,3,0.006962016551986665,25.0
AAPL,WinKS,4,0.007182294168965555,21.0
AAPL,WinKS,5,0.007317808887275092,19.0
AAPL,WinKS,6,0.007186831583583612,20.0
AAPL,WinKS,7,0.007237121440100689,23.0
AAPL,WinKS,8,0.0071888702038552755,24.0
AAPL,WinKS,9,0.0068729737263988,20.0
AAPL,WinKS,10,0.007185792429656442,22.0
AAPL,WinKS,11,0.007257165363538564,22.0
AAPL,WinKS,12,0.006901759683272591,25.0
AAPL,WinKS,13,0.007426533763751192,20.0
AAPL,WinKS,14,0.007018560641196426,22.0
AAPL,WinKS,15,0.006883485123303903,22.0
AAPL,WinKS,16,0.006864666516356353,22.0
AAPL,WinKS,17,0.006887179958832762,21.0
AAPL,WinKS,18,0.006828661633777537,22.0
AAPL,WinKS,19,0.007240966261001978,19.0
AAPL,WinKS,20,0.006858185560490353,22.0
AAPL,WinKS,21,0.007207052861520291,21.0
AAPL,WinKS,22,0.0069248798533629915,24.0
AAPL,WinKS,23,0.007037251245887812,25.0
AAPL,WinKS,24,0.007228630149641594,21.0
AAPL,WinKS,25,0.006863082412222582,23.0
AAPL,WinKS,26,0.006827382658177879,21.0
AAPL,WinKS,27,0.006976101166755251,25.0
AAPL,WinKS,28,0.007163870797335357,22.0
AAPL,WinKS,29,0.006817963687839789,22.0
AAPL,WinKS,30,0.0068097123628055424,23.0
AAPL,LR + KSWIN,1,0.007136280061256781,22.0
AAPL,LR + KSWIN,2,0.006916474873934828,19.0
AAPL,LR + KSWIN,3,0.007282569071651348,19.0
AAPL,LR + KSWIN,4,0.006709133909818119,20.0
AAPL,LR + KSWIN,5,0.007034296575970927,20.0
AAPL,LR + KSWIN,6,0.006887397781050299,22.0
AAPL,LR + KSWIN,7,0.006856000270681382,22.0
AAPL,LR + KSWIN,8,0.006953654296966598,20.0
AAPL,LR + KSWIN,9,0.007140632189188154,20.0
AAPL,LR + KSWIN,10,0.006897517453939633,20.0
AAPL,LR + KSWIN,11,0.00797241287040376,17.0
AAPL,LR + KSWIN,12,0.007037322953166629,20.0
AAPL,LR + KSWIN,13,0.007531312331026818,19.0
AAPL,LR + KSWIN,14,0.00730794122062118,18.0
AAPL,LR + KSWIN,15,0.0068776010942478965,21.0
AAPL,LR + KSWIN,16,0.00687070519044964,20.0
AAPL,LR + KSWIN,17,0.006902838387181701,19.0
AAPL,LR + KSWIN,18,0.0072633230318125625,21.0
AAPL,LR + KSWIN,19,0.007011724266212519,20.0
AAPL,LR + KSWIN,20,0.00721578943058518,20.0
AAPL,LR + KSWIN,21,0.007298365031894048,19.0
AAPL,LR + KSWIN,22,0.006771032601375429,20.0
AAPL,LR + KSWIN,23,0.006786940838566891,20.0
AAPL,LR + KSWIN,24,0.006891013244880525,21.0
AAPL,LR + KSWIN,25,0.00688252324836411,19.0
AAPL,LR + KSWIN,26,0.0068084845095035635,19.0
AAPL,LR + KSWIN,27,0.006973793849502097,21.0
AAPL,LR + KSWIN,28,0.007363924527180487,19.0
AAPL,LR + KSWIN,29,0.006903273736001306,19.0
AAPL,LR + KSWIN,30,0.006954728179080249,21.0
AAPL,LR + ADWIN,1,0.008157142864605959,2.0
AAPL,LR + ADWIN,2,0.008157142864605959,2.0
AAPL,LR + ADWIN,3,0.008157142864605959,2.0
AAPL,LR + ADWIN,4,0.008157142864605959,2.0
AAPL,LR + ADWIN,5,0.008157142864605959,2.0
AAPL,LR + ADWIN,6,0.008157142864605959,2.0
AAPL,LR + ADWIN,7,0.008157142864605959,2.0
AAPL,LR + ADWIN,8,0.008157142864605959,2.0
AAPL,LR + ADWIN,9,0.008157142864605959,2.0
AAPL,LR + ADWIN,10,0.008157142864605959,2.0
AAPL,LR + ADWIN,11,0.008157142864605959,2.0
AAPL,LR + ADWIN,12,0.008157142864605959,2.0
AAPL,LR + ADWIN,13,0.008157142864605959,2.0
AAPL,LR + ADWIN,14,0.008157142864605959,2.0
AAPL,LR + ADWIN,15,0.008157142864605959,2.0
AAPL,LR + ADWIN,16,0.008157142864605959,2.0
AAPL,LR + ADWIN,17,0.008157142864605959,2.0
AAPL,LR + ADWIN,18,0.008157142864605959,2.0
AAPL,LR + ADWIN,19,0.008157142864605959,2.0
AAPL,LR + ADWIN,20,0.008157142864605959,2.0
AAPL,LR + ADWIN,21,0.008157142864605959,2.0
AAPL,LR + ADWIN,22,0.008157142864605959,2.0
AAPL,LR + ADWIN,23,0.008157142864605959,2.0
AAPL,LR + ADWIN,24,0.008157142864605959,2.0
AAPL,LR + ADWIN,25,0.008157142864605959,2.0
AAPL,LR + ADWIN,26,0.008157142864605959,2.0
AAPL,LR + ADWIN,27,0.008157142864605959,2.0
AAPL,LR + ADWIN,28,0.008157142864605959,2.0
AAPL,LR + ADWIN,29,0.008157142864605959,2.0
AAPL,LR + ADWIN,30,0.008157142864605959,2.0
AAPL,LR + HDDM_A,1,0.010095875072212029,0.0
AAPL,LR + HDDM_A,2,0.010095875072212029,0.0
AAPL,LR + HDDM_A,3,0.010095875072212029,0.0
AAPL,LR + HDDM_A,4,0.010095875072212029,0.0
AAPL,LR + HDDM_A,5,0.010095875072212029,0.0
AAPL,LR + HDDM_A,6,0.010095875072212029,0.0
AAPL,LR + HDDM_A,7,0.010095875072212029,0.0
AAPL,LR + HDDM_A,8,0.010095875072212029,0.0
AAPL,LR + HDDM_A,9,0.010095875072212029,0.0
AAPL,LR + HDDM_A,10,0.010095875072212029,0.0
AAPL,LR + HDDM_A,11,0.010095875072212029,0.0
AAPL,LR + HDDM_A,12,0.010095875072212029,0.0
AAPL,LR + HDDM_A,13,0.010095875072212029,0.0
AAPL,LR + HDDM_A,14,0.010095875072212029,0.0
AAPL,LR + HDDM_A,15,0.010095875072212029,0.0
AAPL,LR + HDDM_A,16,0.010095875072212029,0.0
AAPL,LR + HDDM_A,17,0.010095875072212029,0.0
AAPL,LR + HDDM_A,18,0.010095875072212029,0.0
AAPL,LR + HDDM_A,19,0.010095875072212029,0.0
AAPL,LR + HDDM_A,20,0.010095875072212029,0.0
AAPL,LR + HDDM_A,21,0.010095875072212029,0.0
AAPL,LR + HDDM_A,22,0.010095875072212029,0.0
AAPL,LR + HDDM_A,23,0.010095875072212029,0.0
AAPL,LR + HDDM_A,24,0.010095875072212029,0.0
AAPL,LR + HDDM_A,25,0.010095875072212029,0.0
AAPL,LR + HDDM_A,26,0.010095875072212029,0.0
AAPL,LR + HDDM_A,27,0.010095875072212029,0.0
AAPL,LR + HDDM_A,28,0.010095875072212029,0.0
AAPL,LR + HDDM_A,29,0.010095875072212029,0.0
AAPL,LR + HDDM_A,30,0.010095875072212029,0.0
AAPL,LinearRegressionOnlineModelo,1,12023584426.818184,
AAPL,LinearRegressionOnlineModelo,2,12023584426.818184,
AAPL,LinearRegressionOnlineModelo,3,12023584426.818184,
AAPL,LinearRegressionOnlineModelo,4,12023584426.818184,
AAPL,LinearRegressionOnlineModelo,5,12023584426.818184,
AAPL,LinearRegressionOnlineModelo,6,12023584426.818184,
AAPL,LinearRegressionOnlineModelo,7,12023584426.818184,
AAPL,LinearRegressionOnlineModelo,8,12023584426.818184,
AAPL,LinearRegressionOnlineModelo,9,12023584426.818184,
AAPL,LinearRegressionOnlineModelo,10,12023584426.818184,
AAPL,LinearRegressionOnlineModelo,11,12023584426.818184,
AAPL,LinearRegressionOnlineModelo,12,12023584426.818184,
AAPL,LinearRegressionOnlineModelo,13,12023584426.818184,
AAPL,LinearRegressionOnlineModelo,14,12023584426.818184,
AAPL,LinearRegressionOnlineModelo,15,12023584426.818184,
AAPL,LinearRegressionOnlineModelo,16,12023584426.818184,
AAPL,LinearRegressionOnlineModelo,17,12023584426.818184,
AAPL,LinearRegressionOnlineModelo,18,12023584426.818184,
AAPL,LinearRegressionOnlineModelo,19,12023584426.818184,
AAPL,LinearRegressionOnlineModelo,20,12023584426.818184,
AAPL,LinearRegressionOnlineModelo,21,12023584426.818184,
AAPL,LinearRegressionOnlineModelo,22,12023584426.818184,
AAPL,LinearRegressionOnlineModelo,23,12023584426.818184,
AAPL,LinearRegressionOnlineModelo,24,12023584426.818184,
AAPL,LinearRegressionOnlineModelo,25,12023584426.818184,
AAPL,LinearRegressionOnlineModelo,26,12023584426.818184,
AAPL,LinearRegressionOnlineModelo,27,12023584426.818184,
AAPL,LinearRegressionOnlineModelo,28,12023584426.818184,
AAPL,LinearRegressionOnlineModelo,29,12023584426.818184,
AAPL,LinearRegressionOnlineModelo,30,12023584426.818184,
AAPL,HoeffdingTreeRegressorModelo,1,0.08324726516619738,
AAPL,HoeffdingTreeRegressorModelo,2,0.08324726516619738,
AAPL,HoeffdingTreeRegressorModelo,3,0.08324726516619738,
AAPL,HoeffdingTreeRegressorModelo,4,0.08324726516619738,
AAPL,HoeffdingTreeRegressorModelo,5,0.08324726516619738,
AAPL,HoeffdingTreeRegressorModelo,6,0.08324726516619738,
AAPL,HoeffdingTreeRegressorModelo,7,0.08324726516619738,
AAPL,HoeffdingTreeRegressorModelo,8,0.08324726516619738,
AAPL,HoeffdingTreeRegressorModelo,9,0.08324726516619738,
AAPL,HoeffdingTreeRegressorModelo,10,0.08324726516619738,
AAPL,HoeffdingTreeRegressorModelo,11,0.08324726516619738,
AAPL,HoeffdingTreeRegressorModelo,12,0.08324726516619738,
AAPL,HoeffdingTreeRegressorModelo,13,0.08324726516619738,
AAPL,HoeffdingTreeRegressorModelo,14,0.08324726516619738,
AAPL,HoeffdingTreeRegressorModelo,15,0.08324726516619738,
AAPL,HoeffdingTreeRegressorModelo,16,0.08324726516619738,
AAPL,HoeffdingTreeRegressorModelo,17,0.08324726516619738,
AAPL,HoeffdingTreeRegressorModelo,18,0.08324726516619738,
AAPL,HoeffdingTreeRegressorModelo,19,0.08324726516619738,
AAPL,HoeffdingTreeRegressorModelo,20,0.08324726516619738,
AAPL,HoeffdingTreeRegressorModelo,21,0.08324726516619738,
AAPL,HoeffdingTreeRegressorModelo,22,0.08324726516619738,
AAPL,HoeffdingTreeRegressorModelo,23,0.08324726516619738,
AAPL,HoeffdingTreeRegressorModelo,24,0.08324726516619738,
AAPL,HoeffdingTreeRegressorModelo,25,0.08324726516619738,
AAPL,HoeffdingTreeRegressorModelo,26,0.08324726516619738,
AAPL,HoeffdingTreeRegressorModelo,27,0.08324726516619738,
AAPL,HoeffdingTreeRegressorModelo,28,0.08324726516619738,
AAPL,HoeffdingTreeRegressorModelo,29,0.08324726516619738,
AAPL,HoeffdingTreeRegressorModelo,30,0.08324726516619738,
AAPL,OSELMModelo,1,0.011292937141158754,
AAPL,OSELMModelo,2,0.01588984531815739,
AAPL,OSELMModelo,3,0.012196125728062472,
